1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16
;;;;;;;;;;;;;;;
;;;AU per cluster 2026;;;;;;;;;;;;
;;;;;;;;;;;;;;;
CBS;Naam;Prov;Sociale basisvoorzieningen;Participatie;Individuele voorzieningen Wmo;Individuele voorzieningen Jeugd;Bestuur en ondersteuning;Orde en veiligheid;Onderwijs;Sport, cultuur en recreatie;Infrastructuur, ruimte en milieu;Overig;Overige eigen middelen;Onroerendezaakbelasting;Totaal
180;Staphorst;4; 4.270.589 ; 2.034.321 ; 3.795.284 ; 7.517.559 ; 7.189.498 ; 1.942.253 ; 3.003.250 ; 5.207.715 ; 7.537.518 ; -1.315.613 ; -3.190.597 ; -4.648.293 ; 33.343.486 
1708;Steenwijkerland;4; 11.443.370 ; 10.227.916 ; 15.694.663 ; 24.309.526 ; 17.751.596 ; 6.657.927 ; 7.312.057 ; 14.275.324 ; 20.904.293 ; -1.263.586 ; -8.117.838 ; -11.364.378 ; 107.830.871 
183;Tubbergen;4; 4.615.994 ; 2.166.810 ; 4.726.917 ; 7.575.618 ; 8.598.965 ; 2.542.903 ; 2.860.271 ; 5.201.004 ; 9.427.846 ; -00 ; -3.819.020 ; -5.990.160 ; 37.907.147 
1700;Twenterand;4; 7.901.148 ; 6.681.713 ; 9.507.903 ; 17.454.619 ; 13.202.895 ; 4.086.925 ; 5.092.310 ; 9.282.928 ; 11.300.704 ; 681.063 ; -6.057.481 ; -7.760.692 ; 71.374.034 
189;Wierden;4; 6.005.706 ; 2.893.997 ; 6.621.515 ; 9.483.617 ; 10.089.381 ; 2.959.131 ; 3.395.314 ; 7.030.323 ; 9.157.608 ; -00 ; -4.500.005 ; -6.283.924 ; 46.852.663 
1896;Zwartewaterland;4; 5.376.021 ; 3.028.171 ; 5.410.758 ; 10.519.852 ; 9.273.149 ; 2.783.578 ; 3.486.543 ; 6.927.544 ; 9.088.762 ; -00 ; -4.174.163 ; -6.404.962 ; 45.315.255 
193;Zwolle;4; 44.157.268 ; 38.380.314 ; 43.545.852 ; 73.338.098 ; 50.840.440 ; 20.773.661 ; 27.507.502 ; 58.888.553 ; 37.452.780 ; -00 ; -23.760.781 ; -41.641.989 ; 329.481.697 
197;Aalten;5; 6.870.920 ; 4.637.327 ; 9.362.678 ; 14.449.784 ; 10.943.442 ; 3.593.056 ; 4.131.703 ; 8.223.023 ; 10.271.661 ; -1.285.578 ; -4.877.166 ; -6.594.688 ; 59.726.163 
200;Apeldoorn;5; 52.351.739 ; 39.682.542 ; 62.730.883 ; 87.326.650 ; 63.859.880 ; 25.770.379 ; 30.136.870 ; 67.080.805 ; 49.637.079 ; -00 ; -29.929.777 ; -46.639.088 ; 402.007.961 
202;Arnhem;5; 61.655.904 ; 69.339.259 ; 60.675.049 ; 107.627.993 ; 64.804.857 ; 32.848.723 ; 34.621.839 ; 77.952.184 ; 44.538.216 ; -5.028.849 ; -30.074.142 ; -44.098.337 ; 474.862.697 
203;Barneveld;5; 15.817.115 ; 8.050.136 ; 14.315.216 ; 25.067.103 ; 24.058.365 ; 8.356.649 ; 13.492.898 ; 18.803.938 ; 21.814.092 ; -00 ; -11.213.967 ; -20.751.010 ; 117.810.535 
1945;Berg en Dal;5; 8.141.079 ; 8.143.395 ; 12.024.186 ; 16.715.489 ; 14.005.614 ; 4.819.124 ; 5.742.906 ; 8.916.648 ; 10.196.285 ; -00 ; -6.314.071 ; -8.797.202 ; 73.593.453 
